song_id,title,artist,som_x,som_y
Perdenin_Ardındakiler_Bul_Bütün_Denizleri,Bul Bütün Denizleri,Perdenin Ardındakiler,4,19
Perdenin_Ardındakiler_Yardım_Eli,Yardım Eli,Perdenin Ardındakiler,17,10
Perdenin_Ardındakiler_Ben_Yokum_Artık,Ben Yokum Artık,Perdenin Ardındakiler,4,15
Perdenin_Ardındakiler_Beni_Tamamla,Beni Tamamla,Perdenin Ardındakiler,10,11
Perdenin_Ardındakiler_Gülüşün_Bana_Kalsın,Gülüşün Bana Kalsın,Perdenin Ardındakiler,1,11
Perdenin_Ardındakiler_Gizli_Gizli,Gizli Gizli,Perdenin Ardındakiler,4,12
Perdenin_Ardındakiler_Dua,Dua,Perdenin Ardındakiler,2,7
Cem_Adrian_Bu_Gece_Benimle_Ölür_Müsün,Bu Gece Benimle Ölür Müsün,Cem Adrian,7,19
Perdenin_Ardındakiler_Sen_Evden_Giderken,Sen Evden Giderken,Perdenin Ardındakiler,4,19
Perdenin_Ardındakiler_Yalnız_Kalmışım,Yalnız Kalmışım,Perdenin Ardındakiler,8,6
Perdenin_Ardındakiler_Meseleler,Meseleler,Perdenin Ardındakiler,3,17
Perdenin_Ardındakiler_Zaman_Bir_Muamma,Zaman Bir Muamma,Perdenin Ardındakiler,12,2
Perdenin_Ardındakiler_Gökyüzü_Sensiz_Kalamaz,Gökyüzü Sensiz Kalamaz,Perdenin Ardındakiler,15,0
Perdenin_Ardındakiler_Bu_Kez,Bu Kez,Perdenin Ardındakiler,0,8
Perdenin_Ardındakiler_Bizi_Yaktın_Be_Zaman,Bizi Yaktın Be Zaman,Perdenin Ardındakiler,1,19
Perdenin_Ardındakiler_Yeniden,Yeniden,Perdenin Ardındakiler,6,7
Perdenin_Ardındakiler_Sanrılar_(Intro),Sanrılar (Intro),Perdenin Ardındakiler,8,11
Perdenin_Ardındakiler_Epilog_(Intro),Epilog (Intro),Perdenin Ardındakiler,6,19
Madrigal_Sana_Ait,Sana Ait,Madrigal,4,0
Madrigal_Dip,Dip,Madrigal,10,17
Madrigal_Seni_Dert_Etmeler,Seni Dert Etmeler,Madrigal,10,12
Madrigal_Ne_Zamandır_Sendeyim,Ne Zamandır Sendeyim,Madrigal,15,11
Madrigal_Sen_ya_da_Hiç,Sen ya da Hiç,Madrigal,9,10
Madrigal_Senden_Yoksun,Senden Yoksun,Madrigal,13,5
Madrigal_Bambaşka,Bambaşka,Madrigal,13,3
Madrigal_Kelebekler,Kelebekler,Madrigal,18,6
Madrigal_Yaşayamam_Bu_Benle,Yaşayamam Bu Benle,Madrigal,17,9
