song_id,title,artist,som_x,som_y
Mabel_Matiz_Öteki,Öteki,Mabel Matiz,1,6
Mabel_Matiz_Canki,Canki,Mabel Matiz,17,12
Mabel_Matiz_Kara_Beyaz_Kedi,Kara Beyaz Kedi,Mabel Matiz,20,2
Mabel_Matiz_Sefil_Çıplak_Korkusuz,Sefil Çıplak Korkusuz,Mabel Matiz,20,2
Ah!_Kosmos_Mavi,Mavi,Ah! Kosmos,8,1
Mabel_Matiz_Hercai_Menekşe,Hercai Menekşe,Mabel Matiz,1,6
Mabel_Matiz_Barışırsa_Ruhum,Barışırsa Ruhum,Mabel Matiz,1,6
Mabel_Matiz_Peruk_Gibi_Hüzünlü,Peruk Gibi Hüzünlü,Mabel Matiz,1,6
Mabel_Matiz_Morinin_Meyhanesi,Morinin Meyhanesi,Mabel Matiz,8,1
Mabel_Matiz_Fena_Halde,Fena Halde,Mabel Matiz,8,1
Can_Bonomo_Tastamam,Tastamam,Can Bonomo,8,1
Can_Bonomo_Dem,Dem,Can Bonomo,8,1
Can_Bonomo_Güneş,Güneş,Can Bonomo,20,2
Can_Bonomo_Hikayem_Bitmedi,Hikayem Bitmedi,Can Bonomo,5,17
Can_Bonomo_Rüyamda_Buluttum,Rüyamda Buluttum,Can Bonomo,17,12
Can_Bonomo_Sar,Sar,Can Bonomo,1,6
Can_Bonomo_Kal_Bugün,Kal Bugün,Can Bonomo,8,1
Can_Bonomo_Tükeniyor_Ömrüm,Tükeniyor Ömrüm,Can Bonomo,8,1
Can_Bonomo_Resmini_Görünce,Resmini Görünce,Can Bonomo,17,12
Can_Bonomo_Meczup,Meczup,Can Bonomo,17,12
Can_Bonomo_Dağ,Dağ,Can Bonomo,8,1
Can_Bonomo_ELALEM,ELALEM,Can Bonomo,5,17
Can_Bonomo_Bulunmam_Gerek,Bulunmam Gerek,Can Bonomo,1,6
Can_Bonomo_Bardak_Taşıyor,Bardak Taşıyor,Can Bonomo,5,17
Can_Bonomo_Yine_Karşılaşırsak,Yine Karşılaşırsak,Can Bonomo,17,12
Can_Bonomo_Delinin_Düşü,Delinin Düşü,Can Bonomo,17,12
Can_Bonomo_Tarzım_Değil,Tarzım Değil,Can Bonomo,17,12
Fatma_Turgut_Beni_Tutmayın,Beni Tutmayın,Fatma Turgut,1,6
Can_Bonomo_Love_Me_Back,Love Me Back,Can Bonomo,17,12
Can_Bonomo_Yan,Yan,Can Bonomo,8,1
Can_Bonomo_Esmer,Esmer,Can Bonomo,17,12
Can_Bonomo_Bir_Başına,Bir Başına,Can Bonomo,8,1
Can_Bonomo_Bahr-i_Hazer,Bahr-i Hazer,Can Bonomo,5,17
Can_Bonomo_Kanadım_Aşktan,Kanadım Aşktan,Can Bonomo,1,6
Can_Bonomo_Dönelim,Dönelim,Can Bonomo,8,1
Can_Bonomo_Senin_Olmadan_Ölemem,Senin Olmadan Ölemem,Can Bonomo,1,6
Can_Bonomo_Kara_Konular,Kara Konular,Can Bonomo,20,2
Sertab_Erener_Fış_Fış_Kayıkçı,Fış Fış Kayıkçı,Sertab Erener,20,2
Can_Bonomo_Şaşkın,Şaşkın,Can Bonomo,1,6
Can_Bonomo_Kara,Kara,Can Bonomo,20,2
Can_Bonomo_İyi_ki_Doğdun,İyi ki Doğdun,Can Bonomo,5,17
Can_Bonomo_Kapkara,Kapkara,Can Bonomo,8,1
Can_Bonomo_Toz_Duman,Toz Duman,Can Bonomo,8,1
Can_Bonomo_Sen_Bunları_Duyma,Sen Bunları Duyma,Can Bonomo,17,12
Can_Bonomo_Ağla_Şimdi_Sonsuza_Kadar,Ağla Şimdi Sonsuza Kadar,Can Bonomo,17,12
Can_Bonomo_Çal,Çal,Can Bonomo,8,1
Can_Bonomo_Sar_Hüzünleri_Başa,Sar Hüzünleri Başa,Can Bonomo,17,12
Can_Bonomo_Bana_Bir_Saz_Verin,Bana Bir Saz Verin,Can Bonomo,5,17
Can_Bonomo_Terslik_Var,Terslik Var,Can Bonomo,8,1
Can_Bonomo_Derda,Derda,Can Bonomo,5,17
Can_Bonomo_Acı_Kiraz,Acı Kiraz,Can Bonomo,1,6
Can_Bonomo_Ruhum_Bela,Ruhum Bela,Can Bonomo,5,17
Can_Bonomo_Eğlen,Eğlen,Can Bonomo,20,2
Can_Bonomo_Ben_Gideyim,Ben Gideyim,Can Bonomo,14,20
Can_Temiz_Misafir,Misafir,Can Temiz,1,6
Can_Bonomo_Gazapistan,Gazapistan,Can Bonomo,1,6
Can_Bonomo_Araba,Araba,Can Bonomo,20,2
Can_Bonomo_Ali_Baba,Ali Baba,Can Bonomo,5,17
Can_Bonomo_Sustum,Sustum,Can Bonomo,1,6
Can_Bonomo_Olmaz_Sensiz,Olmaz Sensiz,Can Bonomo,17,12
Can_Bonomo_Kaçak,Kaçak,Can Bonomo,8,1
Can_Bonomo_Her_Kız_Başka,Her Kız Başka,Can Bonomo,17,12
Can_Bonomo_Bir_Çocuk_Yaralı,Bir Çocuk Yaralı,Can Bonomo,1,6
Can_Bonomo_Bu_Benim,Bu Benim,Can Bonomo,8,1
Can_Bonomo_Bak_Jandarma_Geliyor,Bak Jandarma Geliyor,Can Bonomo,8,1
Can_Bonomo_Başkan,Başkan,Can Bonomo,5,17
Can_Bonomo_Kaplan,Kaplan,Can Bonomo,5,17
Can_Bonomo_Beni_Sal,Beni Sal,Can Bonomo,20,2
Can_Bonomo_Keyfim_Kaçık_Acık,Keyfim Kaçık Acık,Can Bonomo,1,6
Can_Bonomo_Defol,Defol,Can Bonomo,1,6
Can_Bonomo_Ölesim_Var,Ölesim Var,Can Bonomo,1,6
Can_Bonomo_Yağma_Yağmur,Yağma Yağmur,Can Bonomo,1,6
Can_Bonomo_Umman_Dondu,Umman Dondu,Can Bonomo,20,2
