song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,som_x,som_y,jitter_x,jitter_y
Katy_Perry_International_Smile,International Smile,Katy Perry,en,129.19921875,0.2369806319475174,2237.97294892412,-94.719025,93.50849,5.0856185,13.916654,-11.994303,-14.234195,-4.534361,3.9615319,-8.021558,-9.609358,-9.586836,4.3298025,-6.2067456,0.31553608,0.26378813,0.37555033,0.32814917,0.52642345,0.28300902,0.26620454,0.42461926,0.33896405,0.39681888,0.30484915,0.43017003,1,9,0.7129008946394575,9.106168247972954
Katy_Perry_Tommie_Sunshine's_Megasix_Smash-Up,Tommie Sunshine's Megasix Smash-Up,Katy Perry,en,129.19921875,0.0742831006646156,1517.2006961432858,-321.7527,41.217983,2.159001,7.267167,4.090411,7.1989293,2.617228,6.541711,2.3185484,6.9829674,-1.2083302,2.9888046,0.29771015,0.28570965,0.26577988,0.2763894,0.2562504,0.27049705,0.32408935,0.25600895,0.26017237,0.2796337,0.2937018,0.31606236,0.29020536,11,11,10.600631608874576,10.88202228101108
Adele_Lovesong,Lovesong,Adele,en,117.45383522727272,0.0354335233569145,1004.7764503855184,-390.0059,132.59727,8.376184,25.664558,15.606101,8.655057,5.839595,0.10929015,-4.2925916,-6.130304,-13.384345,-8.722312,-6.673851,0.33489335,0.17627694,0.33780745,0.53559893,0.16055848,0.07853091,0.1403875,0.27295822,0.20130703,0.15753058,0.13821727,0.15827695,14,7,14.248112072596369,6.661448822111937
Adele_Skyfall,Skyfall,Adele,en,75.99954044117646,0.0558793880045414,838.5062088257321,-320.49866,147.82419,0.035782095,6.2417026,7.930083,-8.89409,-14.272295,-6.2082,-5.132033,-12.287029,-8.3226595,2.6881757,-0.40582582,0.52057576,0.20344813,0.4237544,0.7761257,0.23896268,0.15316616,0.14204632,0.22246611,0.1349158,0.140313,0.1322209,0.18884702,21,18,20.67005965038899,18.20244608793193
Adele_Rolling_in_the_Deep,Rolling in the Deep,Adele,en,103.359375,0.1599522829055786,2057.5804515430395,-163.22198,88.78265,8.52752,23.230268,18.656254,17.048265,5.9558287,11.053812,-2.0291245,5.724497,-6.795816,3.2606666,-7.723966,0.36876285,0.29665026,0.22932047,0.21616936,0.17340314,0.21199416,0.32048586,0.5482149,0.3568721,0.24348271,0.29842532,0.27546605,11,6,11.107079854988259,6.181220954887938
Adele_Set_Fire_to_the_Rain,Set Fire to the Rain,Adele,en,107.666015625,0.1177777051925659,1999.926248568366,-170.62875,104.2635,-24.170946,13.265359,10.033689,5.8708353,0.08342939,-2.176573,-1.0877599,5.8041625,-4.3218775,4.2933564,-7.3310094,0.36750427,0.22412841,0.3187149,0.26810685,0.5120928,0.57965595,0.26940835,0.31276447,0.19170049,0.26606295,0.22606258,0.2648686,9,11,9.331693163612153,11.33008201739112
Adele_Someone_Like_You,Someone Like You,Adele,en,135.99917763157896,0.0522221848368644,1188.0337267614273,-301.8592,158.04015,-11.536013,-1.7831128,10.726106,-5.768055,-6.492932,-3.4891388,-7.095307,-2.73254,-12.729322,-1.7069099,-13.713549,0.16398303,0.4932276,0.26567882,0.16538486,0.3879649,0.18178734,0.20570938,0.13919023,0.31288952,0.28597587,0.16488992,0.16155715,21,15,20.766921530526744,15.18442561680429
Adele_Million_Years_Ago,Million Years Ago,Adele,en,103.359375,0.2139174342155456,1367.0009598688885,-207.9874,118.85877,31.33132,30.150278,27.22153,2.599838,6.0663853,6.0617266,-0.7172352,-2.125097,-14.202136,-5.2235837,-17.595816,0.26309004,0.28240028,0.16470674,0.20002884,0.21333067,0.21691817,0.27877754,0.33104187,0.4639045,0.4089802,0.27815288,0.27279764,13,5,13.13221826898953,5.262955953795202
Adele_Love_In_The_Dark,Love In The Dark,Adele,en,73.828125,0.0888820514082908,1315.5486102968682,-253.4903,144.90968,-1.1541829,9.320913,16.4093,1.7071295,-1.4393398,1.2820892,-3.454987,2.5318532,-9.864743,-2.2965188,-8.329637,0.30702418,0.17515709,0.24196519,0.2264915,0.44399813,0.23872638,0.123722985,0.19153264,0.28538173,0.4503342,0.295299,0.3149206,13,8,12.662958861366008,8.196763694323199
Adele_Hello,Hello,Adele,en,161.4990234375,0.0461631715297699,1462.1989966392766,-324.84338,134.14798,34.358902,15.818355,7.447366,0.4809268,6.553333,2.2773783,-2.0494702,2.2711408,-4.234706,-2.5902886,-12.114956,0.4737263,0.36873713,0.21438111,0.23845443,0.18707688,0.22800729,0.19170098,0.3033974,0.36884335,0.29368666,0.38133296,0.324534,13,6,13.083004115070091,6.104549750649853
Adele_Send_My_Love_(To_Your_New_Lover),Send My Love (To Your New Lover),Adele,en,161.4990234375,0.1597983241081237,1396.2234386067555,-260.8177,110.169846,31.316147,30.849428,16.040493,10.915569,11.846308,7.1811953,-2.1669862,1.9491273,-3.7607381,3.7283757,-0.79015756,0.3278978,0.3832831,0.49990836,0.4168203,0.42497018,0.4336812,0.44457248,0.41919726,0.37257743,0.35074866,0.36470518,0.4165023,8,3,7.731145376762562,2.9415731153528073
Adele_Chasing_Pavements,Chasing Pavements,Adele,en,161.4990234375,0.097484290599823,2107.74910125727,-221.07092,110.14125,38.51956,14.834799,27.302172,3.6918654,3.2338061,2.5405288,-3.8569963,-4.671906,-6.9088383,1.5867002,-18.705177,0.283933,0.20410523,0.2917535,0.27678025,0.1401643,0.17307632,0.20510942,0.39964423,0.2824284,0.28046596,0.43276492,0.27417278,21,13,21.188762848412143,13.321693846913822
Adele_When_We_Were_Young,When We Were Young,Adele,en,143.5546875,0.1251981109380722,949.728767189952,-300.7417,147.28915,34.540634,13.960614,16.883617,9.8592205,9.329271,8.147254,-1.0885581,3.9713004,0.9792033,0.77751625,-0.5769536,0.27516475,0.2539654,0.33262768,0.48507312,0.40459728,0.33012533,0.34545347,0.4478726,0.3865082,0.3184679,0.38909695,0.3252492,12,4,11.840985035835127,4.1207748575259755
Adele_Easy_On_Me,Easy On Me,Adele,en,95.703125,0.1220503523945808,1601.7523529919365,-221.06978,137.47475,18.667675,-1.8439269,4.512732,-3.9825678,-3.9211495,-6.8639345,-9.607992,-3.207611,-4.454039,0.48084915,-6.0523286,0.44707608,0.16493261,0.14957681,0.11268584,0.31563765,0.5248861,0.2009981,0.23936926,0.13466547,0.18629569,0.18691243,0.21037273,15,6,14.970712807043718,5.918684257572727
