song_id,title,artist,language,tempo,energy_rms,spectral_centroid,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Gülşen_Buz,Buz,Gülşen,tr,129.19921875,0.1940822452306747,2083.0855346418225,-82.837296,100.70834,1.1515493,25.241995,9.182359,10.897889,-2.1342008,3.5060537,-4.191214,3.8982036,-0.67838156,3.8977542,-5.4471426,0.26637128,0.31944585,0.27500373,0.48531967,0.46063477,0.30808213,0.3772785,0.30242524,0.35288334,0.29294056,0.4059131,0.40070975
Gülşen_E_Bilemem_Artık,E Bilemem Artık,Gülşen,tr,123.046875,0.0993290245532989,1630.042171032749,-207.26414,122.31211,16.097136,32.301437,6.8654103,23.75358,2.8789513,8.321326,4.605059,3.7982812,1.7163961,3.421095,-1.3272415,0.46555972,0.4770213,0.5663168,0.53494227,0.54143137,0.4834182,0.4857294,0.5427629,0.5227156,0.52643853,0.5005623,0.5263693
Gülşen_Uyan_Da_Gidelim,Uyan Da Gidelim,Gülşen,tr,129.19921875,0.2618263661861419,3074.0182649425938,-15.556475,61.914463,16.46014,25.555395,11.421661,15.901299,3.5325468,8.361892,2.1335993,5.581178,-1.3021309,2.2301457,-4.246135,0.6017269,0.50114864,0.5595056,0.5026369,0.36612225,0.38900384,0.3448734,0.45753574,0.42575857,0.518943,0.61918193,0.5476925
Gülşen_Her_Gece,Her Gece,Gülşen,tr,117.45383522727272,0.1299508213996887,2327.546169380043,-120.958954,86.62859,0.67765343,25.086313,9.327764,6.634971,2.4532354,4.504719,-1.8366945,-0.9605728,-5.513972,-0.19484435,-2.1955354,0.4171401,0.5385916,0.4515807,0.5011418,0.4093892,0.36725503,0.49411583,0.3818281,0.4125661,0.32609403,0.3448894,0.38072446
Gülşen_Alnımın_Yazısı,Alnımın Yazısı,Gülşen,tr,129.19921875,0.1400512158870697,2379.761365849591,-176.97227,82.62142,5.802195,23.811245,-1.4071792,9.456974,-4.9758186,-2.4265223,-4.3431854,5.449029,-4.0505123,-2.2099807,-3.2557657,0.5042115,0.34799296,0.37307414,0.353391,0.48472452,0.34541097,0.49201357,0.53896797,0.43048388,0.52433264,0.4148435,0.5854045
Gülşen_Yaklaşanı_Yakarım,Yaklaşanı Yakarım,Gülşen,tr,129.19921875,0.1378963887691497,2939.927422450767,-130.27513,53.727543,-3.769827,35.850693,10.262899,18.419804,8.535932,8.619248,-0.18075855,1.6449337,0.47616893,5.642415,1.2314367,0.585999,0.54675037,0.475107,0.44700593,0.38382688,0.4089122,0.37517294,0.45567596,0.38825792,0.34490412,0.3929552,0.44305676
Gülşen_Tamamen_Yanılsama,Tamamen Yanılsama,Gülşen,tr,89.10290948275862,0.0732782110571861,1168.8435005506708,-270.1632,135.54175,-8.221318,24.081743,16.046497,-6.5891256,-6.167913,-9.244118,-17.032274,-16.772198,-13.146847,-10.601629,-15.209111,0.20140508,0.07024197,0.09070805,0.23745602,0.15373233,0.28109086,0.17878133,0.32164216,0.3504299,0.24241476,0.34567487,0.14827095
Gülşen_İade,İade,Gülşen,tr,89.10290948275862,0.2090396881103515,2196.96699493335,-66.65699,107.096245,-2.318592,14.252852,1.7448515,7.304133,4.2601633,5.8372355,2.067084,5.663497,-3.0082297,5.175197,-3.5577838,0.61573905,0.5279881,0.3764597,0.3214855,0.30479023,0.33209428,0.3945739,0.6527686,0.5247828,0.42640817,0.469628,0.45713934
Gülşen_Muhtelif_Zamanlarda,Muhtelif Zamanlarda,Gülşen,tr,86.1328125,0.118979275226593,2602.422245127329,-118.95501,88.0097,11.925142,10.369308,-4.1404824,8.192899,-4.046537,1.1415681,-4.889848,2.3346782,-1.7601376,3.5003443,-1.2806493,0.4368806,0.5023725,0.5991886,0.6149266,0.5574697,0.48954824,0.49317876,0.52061737,0.50632507,0.5215544,0.48886794,0.48412982
Gülşen_Bu_Aşk_Adam_Olmaz,Bu Aşk Adam Olmaz,Gülşen,tr,117.45383522727272,0.1043824553489685,2382.399109908679,-123.59563,90.69511,0.81809294,19.704668,6.9188004,14.869937,2.7915847,6.2571964,0.7276537,4.0751047,-1.4906281,3.7432914,1.0488366,0.6287599,0.57253855,0.54866606,0.46492454,0.44957194,0.378579,0.32124865,0.34199345,0.38959467,0.5150013,0.5532784,0.6719919
